"A0002500","R0000100","R0000700","R0001010","R0001100","R0001200","R0001610","R0001800","R0010300","R0023500","R0029100","R0153800","R0153900","R0154000","R0154100","R0154300","R0154400","R0154500","R0170100","R0171800","R0214700","R0214800","R0217501","R0217502","R0217910","R0306700","R0307000","R0307100","R1021700","R1395100","R1395400","R3279401","R3400800","R3401501","R3403500","R3407700","R3407800","R6430800","R6430900","R6591300","R6592900","R6738700","R6749800","R6839600","R6909701","R7006400","R7006500","R7006600","R7006900","R7007000","R9909700","T3206901","T3308200","T3308700","T3495400","T3506500","T3976400","T3977400","T3977500","T3977600","T3987600","T3987800","T4112200","T4112700","T4113000","T4114600","T4114900"
445,4507,1,0,0,-4,0,1,7,12,-4,3,2,3,2,2,3,3,755,0,3,1,0,5,0,0,-4,1,11,0,-4,-5,-5,-5,-5,-5,-5,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,-4,-4,-4,-4,-4,6,0,-4,-4,-4,-4,1,4,10,1,11
445,4508,1,0,0,-4,0,1,7,16,0,2,2,2,2,2,3,2,1,0,3,1,0,1,0,1,18,0,18,4,-4,37000,0,16,7,0,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-4,4770,20,4610,-4,2,48000,-4,-4,-4,-4,1,4,16,1,9
445,4509,1,0,0,-4,0,1,0,16,-4,2,2,3,2,2,3,2,31,1,3,1,0,3,0,0,-4,0,-5,1,16,24000,0,13,8,1,2,2,22,927,53,-4,-4,-4,68500,6,68500,0,2,1,4,-4,770,1450,5120,52,3,72000,-4,-4,25000,-4,5,4,14,1,9
445,4510,1,1,0,-4,0,1,5,16,0,2,2,3,1,2,2,2,245,0,3,1,0,1,0,0,-4,0,15,4,15,36000,0,14,10,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4511,1,0,0,-4,0,1,7,16,0,1,2,1,1,2,3,2,-4,0,3,1,0,1,0,1,20,0,17,4,-4,0,0,14,9,1,0,5,20,669,19,-4,20,-4,0,3,65400,0,2,1,42,-4,8680,310,4520,44,2,135000,-4,-4,20000,-4,2,4,14,1,9
445,4512,1,0,0,-4,0,1,7,16,0,2,2,3,2,2,2,2,1,0,3,1,0,1,1,1,10,0,17,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4513,1,0,1,1,0,1,7,16,0,2,2,3,1,3,2,1,-4,1,1,1,0,1,0,0,-4,1,19,2,14,36000,0,14,12,1,9,0,-4,748,379,-4,40,-4,35000,1,35000,0,3,3,202,-4,7070,7320,5240,-4,-4,53000,-4,-4,0,-4,3,4,15,1,16
445,4514,1,0,0,-4,-3,1,6,18,0,2,2,3,1,1,3,2,185,0,3,1,0,3,0,0,-4,0,18,1,-4,0,0,15,6,4,1,3,24,529,13,-4,20,-4,84000,4,-2,-3,2,1,71,-4,3490,50,4720,52,2,45000,-4,-4,38000,-4,2,4,15,1,20
445,4515,1,0,0,-4,0,1,7,14,-4,2,2,3,2,3,3,3,153,1,3,1,0,5,-3,1,14,0,0,1,-4,15000,0,14,5,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4516,1,0,1,4,0,1,7,16,0,1,1,1,2,2,4,1,-4,0,3,2,0,6,0,0,-4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4517,1,0,0,-4,0,1,7,16,0,3,2,3,2,3,3,2,961,0,3,1,0,5,0,1,18,0,18,0,-4,36000,0,16,8,4,1,0,-4,247,185,-4,4,-4,78000,6,118500,0,2,1,11,-4,3960,3530,3130,45,2,141000,-4,-4,31000,-4,3,4,16,1,10
445,4518,1,0,0,-4,0,1,7,12,-4,4,2,3,3,1,4,2,-4,1,3,1,0,5,0,0,-4,0,17,1,-4,12000,-3,13,5,0,-4,0,-4,68,53,-4,35,-4,42000,4,72500,0,2,1,47,-4,770,1360,5140,48,1,83000,-4,-4,75000,-4,4,4,15,1,5
445,4519,1,0,0,-4,0,1,0,12,-4,2,2,3,2,3,3,3,245,0,3,1,0,2,0,0,-4,0,18,4,16,12000,0,12,10,0,-4,0,-4,67,563,-4,20,-4,50000,4,57179,0,2,1,81,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4520,1,0,0,-4,0,1,2,12,0,2,2,3,2,2,3,2,-4,0,3,1,0,5,0,0,-4,0,14,4,-4,25000,0,12,11,2,0,0,-4,259,779,-4,-4,-4,35000,6,35000,0,2,1,39,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4521,1,0,0,-4,0,1,2,13,0,4,4,2,3,4,2,3,142,0,3,2,0,4,0,0,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4522,1,-3,1,4,0,1,7,14,0,3,2,2,3,3,2,2,-4,1,3,2,0,5,-3,1,17,1,-5,5,-4,15000,0,12,6,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-999,-4,9170,430,9990,-4,-4,21000,-4,-4,-4,-4,3,3,12,0,10
445,4523,1,0,1,4,0,1,7,16,-4,1,1,1,1,1,4,1,175,1,3,2,0,4,0,0,-4,0,17,3,-2,0,0,11,14,2,3,0,-4,-4,-4,-4,50,2,0,2,19176,0,3,3,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4524,1,0,1,1,0,1,7,14,-4,2,3,3,2,3,3,2,185,1,1,1,0,5,0,0,-4,0,16,2,-4,74283,-3,12,6,0,-4,5,17,807,186,-4,-4,-4,216200,1,-2,-3,1,0,-997,-4,6570,2850,3130,-4,3,343830,-4,-4,-4,-4,2,3,12,1,7
445,4525,1,0,0,-4,0,1,7,16,-4,1,1,2,1,3,3,3,72,1,3,2,0,2,0,0,-4,0,18,1,-4,15000,-3,15,9,1,0,-1,-4,717,253,-4,-4,1,0,2,8100,1,3,3,18,-4,5170,4760,5540,-4,-4,11000,-4,-4,-4,-4,1,4,15,1,20
445,4526,1,0,0,-4,0,1,2,11,0,1,1,2,3,2,3,4,-4,0,3,2,0,3,0,0,-4,0,19,2,-4,11000,0,12,7,0,-4,2,21,-4,-4,-4,50,2,0,4,700,1,3,1,183,-4,-4,-4,4710,52,1,0,-4,-4,60000,-4,4,4,12,1,7
445,4527,1,0,0,-4,0,2,7,12,0,1,3,1,3,3,4,2,205,0,1,2,0,6,0,1,16,1,18,3,-2,-5,-5,-5,-5,-5,-5,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4528,1,0,0,-4,0,1,9,14,0,1,2,2,3,-2,3,1,-4,1,3,2,1,2,0,0,-4,0,17,3,-4,600,1,14,8,0,-4,6,15,67,23,-4,-4,1,24000,2,36010,0,3,3,176,-4,8590,50,-4,-4,-4,90000,-4,-4,-4,-4,2,4,14,0,14
445,4529,1,0,0,-4,0,1,0,16,-4,1,2,4,1,1,4,1,175,1,3,1,0,1,0,1,16,1,15,5,-4,0,1,15,12,0,-4,-5,-5,209,235,-4,-4,-4,20000,1,20000,0,3,2,-998,-4,8090,2010,-4,-4,-4,22000,-4,-4,-4,-4,1,3,15,1,18
445,4530,1,0,0,-4,0,1,6,16,0,1,2,2,2,1,3,2,-4,0,3,2,0,3,-3,0,-4,0,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4531,1,0,0,-4,0,1,4,18,0,3,3,3,2,3,3,3,12,1,3,1,0,3,0,0,-4,0,-4,0,-4,44000,0,16,4,0,-4,0,-4,748,19,75,32,-4,65000,4,106200,0,2,1,75,-4,590,7700,3130,-4,1,140000,-4,-4,0,-4,4,4,16,1,7
445,4532,1,0,1,1,0,1,7,16,0,2,3,3,2,3,3,2,245,0,1,1,0,6,0,0,-4,0,20,1,-4,50000,0,16,1,0,-4,1,19,527,19,-4,-4,-4,67000,4,67500,0,2,1,147,-4,4470,10,2340,40,1,67000,-4,-4,68000,-4,4,4,16,1,1
445,4533,1,0,1,1,0,1,7,16,-4,1,2,1,3,2,4,1,942,1,1,2,0,6,-3,0,-4,0,17,1,-4,29000,0,16,7,0,-4,3,18,849,234,-4,40,2,26000,4,146000,0,2,1,29,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4534,1,0,0,-4,0,2,7,14,0,2,2,2,2,2,3,2,-4,0,3,2,0,4,0,0,-4,0,21,3,-4,10000,0,12,5,2,4,1,19,769,406,-4,40,2,6000,4,6030,1,2,1,30,-4,9160,430,3710,52,1,42000,-4,-4,100000,-4,3,4,13,1,7
445,4535,1,1,0,-4,0,1,9,12,0,2,2,4,3,3,3,1,3,0,3,1,0,4,-3,1,15,1,23,4,-4,16000,0,14,5,0,-4,2,28,739,64,142,40,-4,40000,2,72000,0,2,1,31,-4,8790,1020,2310,47,-4,61000,-4,-4,67000,-4,3,4,14,1,25
445,4536,1,0,0,-4,0,2,5,15,1,2,2,2,2,2,3,2,-4,1,3,2,0,1,0,0,-4,0,21,1,-4,0,0,13,7,2,3,0,-4,338,195,-4,-4,5,3000,6,-2,-3,3,3,5,-4,4970,4050,-4,-4,-4,17497,-4,-4,-4,-4,3,4,13,1,11
445,4537,1,0,0,-4,0,1,9,12,0,2,2,3,3,2,3,3,921,1,2,2,0,2,-3,0,-4,0,19,4,-4,0,1,12,4,5,0,0,-4,809,426,-4,-4,5,37000,4,41300,0,3,3,63,-4,9370,730,-4,-4,1,83000,-4,-4,-4,-4,2,4,17,1,11
445,4538,1,0,0,-4,0,1,4,16,0,1,2,4,2,1,4,1,202,1,3,2,1,3,0,0,-4,0,21,1,-4,20000,0,12,4,2,10,0,-4,889,19,-4,50,2,40000,4,103000,0,2,1,27,-4,770,800,9130,52,2,46500,-4,-4,64000,-4,5,4,12,1,9
445,4539,2,-4,1,3,0,1,6,14,0,2,3,3,2,3,4,3,-4,0,3,2,0,3,0,0,-4,0,18,1,-4,11000,0,15,13,1,0,0,-4,839,175,-4,-4,3,13996,4,22784,0,3,3,31,-4,8270,4620,-4,-4,-4,0,-4,-4,-4,-4,3,4,15,1,13
445,4540,1,0,1,-3,0,1,6,14,0,2,3,4,3,3,3,2,430,0,3,1,0,3,0,1,17,0,17,2,13,24000,0,16,9,0,-4,0,-4,937,19,-4,-4,-4,0,1,5400,1,1,0,-998,-4,8570,430,-4,-4,2,91200,-4,-4,-4,-4,1,4,16,0,11
445,4541,1,0,1,1,-4,-3,7,12,0,2,2,3,2,1,3,1,94,1,1,2,0,5,1,0,-4,0,17,2,-4,2500,0,12,6,2,4,0,-4,-4,-4,-4,-4,2,0,2,10416,1,3,3,32,-4,8170,3600,-4,-4,-4,0,-4,-4,-4,-4,1,4,12,0,15
